cod_insersao;descricao_kit;cod_kit;cod_sku;descricao_sku;segmento;serie;volume;envio;frequencia;usuario;info_produto;tipo_material;classificacao_produto;personalizacao
82101141501;ROSALVO ALUNO EF2 9O ANO ROSALVO 1O BI;82101141501;PG25LA291RO00;25 LV ALUNO EF2 9O ANO 1O BI ROSALVO;FUND AF;9O ANO;Volume 01;V1;Bimestral;Aluno;Integrado;Livro;Livro;ROSALVO
82101141501;ROSALVO ALUNO EF2 9O ANO ROSALVO 1O BI;82101141501;PG25LA295SDA0;25 LV ALUNO EF2 9O ANO VOL 1 SAE ARTE;FUND AF;9O ANO;Volume 01;V1;Semestral;Aluno;Arte;Livro;Livro;ROSALVO
82101141501;ROSALVO ALUNO EF2 9O ANO ROSALVO 1O BI;82101141501;PG25LA295SDW0;25 LV ALUNO EF2 9O ANO VOL 1 SAE FILOSOFIA;FUND AF;9O ANO;Volume 01;V1;Semestral;Aluno;Filosofia;Livro;Livro;ROSALVO
82101141601;SANTO ANJO ALUNO EF2 9O ANO SANTO ANJO 1O BI;82101141601;PG25LA291SA00;25 LV ALUNO EF2 9O ANO 1O BI SANTO ANJO;FUND AF;9O ANO;Volume 01;V1;Bimestral;Aluno;Integrado;Livro;Livro;SANTO ANJO
82101141601;SANTO ANJO ALUNO EF2 9O ANO SANTO ANJO 1O BI;82101141601;PG25LA295SDA0;25 LV ALUNO EF2 9O ANO VOL 1 SAE ARTE;FUND AF;9O ANO;Volume 01;V1;Semestral;Aluno;Arte;Livro;Livro;SANTO ANJO
82101141601;SANTO ANJO ALUNO EF2 9O ANO SANTO ANJO 1O BI;82101141601;PG25LA295SDW0;25 LV ALUNO EF2 9O ANO VOL 1 SAE FILOSOFIA;FUND AF;9O ANO;Volume 01;V1;Semestral;Aluno;Filosofia;Livro;Livro;SANTO ANJO
82101141601;SANTO ANJO ALUNO EF2 9O ANO SANTO ANJO 1O BI;82101141601;PG25LA291SAMC;25 LV ALUNO EF2 9O ANO 1O BI SANTO ANJO MATEMATICA;FUND AF;9O ANO;Volume 01;V1;Bimestral;Aluno;Caderno de atividades de Matemática;Livro;Livro;SANTO ANJO
82101141701;SECULO ALUNO EF2 9O ANO SECULO 1O BI;82101141701;PG25LA291SE00;25 LV ALUNO EF2 9O ANO 1O BI SECULO;FUND AF;9O ANO;Volume 01;V1;Bimestral;Aluno;Integrado;Livro;Livro;SECULO
82101141701;SECULO ALUNO EF2 9O ANO SECULO 1O BI;82101141701;PG25LA295SDA0;25 LV ALUNO EF2 9O ANO VOL 1 SAE ARTE;FUND AF;9O ANO;Volume 01;V1;Semestral;Aluno;Arte;Livro;Livro;SECULO
82101141701;SECULO ALUNO EF2 9O ANO SECULO 1O BI;82101141701;PG25LA295SDW0;25 LV ALUNO EF2 9O ANO VOL 1 SAE FILOSOFIA;FUND AF;9O ANO;Volume 01;V1;Semestral;Aluno;Filosofia;Livro;Livro;SECULO
82101141801;STATUS ALUNO EF2 9O ANO STATUS 1O BI;82101141801;PG25LA291ST00;25 LV ALUNO EF2 9O ANO 1O BI STATUS;FUND AF;9O ANO;Volume 01;V1;Bimestral;Aluno;Integrado;Livro;Livro;STATUS
82101141801;STATUS ALUNO EF2 9O ANO STATUS 1O BI;82101141801;PG25LA295SDA0;25 LV ALUNO EF2 9O ANO VOL 1 SAE ARTE;FUND AF;9O ANO;Volume 01;V1;Semestral;Aluno;Arte;Livro;Livro;STATUS
82101141801;STATUS ALUNO EF2 9O ANO STATUS 1O BI;82101141801;PG25LA295SDW0;25 LV ALUNO EF2 9O ANO VOL 1 SAE FILOSOFIA;FUND AF;9O ANO;Volume 01;V1;Semestral;Aluno;Filosofia;Livro;Livro;STATUS
82101141901;TAMANDARE ALUNO EF2 9O ANO TAMANDARE 1O BI;82101141901;PG25LA295SDA0;25 LV ALUNO EF2 9O ANO VOL 1 SAE ARTE;FUND AF;9O ANO;Volume 01;V1;Semestral;Aluno;Arte;Livro;Livro;TAMANDARE
82101141901;TAMANDARE ALUNO EF2 9O ANO TAMANDARE 1O BI;82101141901;PG25LA295SDW0;25 LV ALUNO EF2 9O ANO VOL 1 SAE FILOSOFIA;FUND AF;9O ANO;Volume 01;V1;Semestral;Aluno;Filosofia;Livro;Livro;TAMANDARE
82101141901;TAMANDARE ALUNO EF2 9O ANO TAMANDARE 1O BI;82101141901;PG25LA291TA00;25 LV ALUNO EF2 9O ANO 1O BI TAMANDARE;FUND AF;9O ANO;Volume 01;V1;Bimestral;Aluno;Integrado;Livro;Livro;TAMANDARE
