cod_insersao;descricao_kit;cod_kit;cod_sku;descricao_sku;segmento;serie;volume;envio;frequencia;usuario;info_produto;tipo_material;classificacao_produto;personalizacao
PG23LA335SDE2;23 LV ALUNO EM ANUAL SAE ESPANHOL LV 2;;PG23LA335SDE2;23 LV ALUNO EM ANUAL SAE ESPANHOL LV 2;EM;ELETIVAS;Volume 02;V1;Anual;Aluno;Conhecendo o universo da Língua Espanhola 2;Livro;Livro;SAE
PG23LA335SDE1;23 LV ALUNO EM ANUAL SAE ESPANHOL LV 1;;PG23LA335SDE1;23 LV ALUNO EM ANUAL SAE ESPANHOL LV 1;EM;ELETIVAS;Volume 01;V1;Anual;Aluno;Conhecendo o universo da Língua Espanhola 1;Livro;Livro;SAE
PG23LA336SDC0;23 LV ALUNO EM SAE MATEMATICA E FISICA VOL 1;;PG23LA336SDC0;23 LV ALUNO EM SAE MATEMATICA E FISICA VOL 1;EM;ELETIVAS;Volume 01;V1;Semestral;Aluno;Aprova Matemática e Física;Livro;Livro;SAE
PG23LA336SDB0;23 LV ALUNO EM SAE APROVA BIOLOGICAS VOL 1;;PG23LA336SDB0;23 LV ALUNO EM SAE APROVA BIOLOGICAS VOL 1;EM;ELETIVAS;Volume 01;V1;Semestral;Aluno;Aprova Biológicas;Livro;Livro;SAE
PG23LA335SDW0;23 LV ALUNO EM ANUAL SAE FILOSOFIA REVISIONAL;;PG23LA335SDW0;23 LV ALUNO EM ANUAL SAE FILOSOFIA REVISIONAL;EM;ELETIVAS;Volume 03;V1;Anual;Aluno;Filosofia no Ensino Médio;Livro;Livro;SAE
PG23LA335SDS0;23 LV ALUNO EM ANUAL SAE SOCIOLOGIA REVISIONAL;;PG23LA335SDS0;23 LV ALUNO EM ANUAL SAE SOCIOLOGIA REVISIONAL;EM;ELETIVAS;Volume 03;V1;Anual;Aluno;Sociologia no Ensino Médio;Livro;Livro;SAE
PG23LA335SDA0;23 LV ALUNO EM ANUAL SAE ARTE REVISIONAL;;PG23LA335SDA0;23 LV ALUNO EM ANUAL SAE ARTE REVISIONAL;EM;ELETIVAS;Volume 03;V1;Anual;Aluno;Arte no Ensino Médio;Livro;Livro;SAE
PG23LA335SDE0;23 LV ALUNO EM ANUAL SAE ESPANHOL REVISIONAL;;PG23LA335SDE0;23 LV ALUNO EM ANUAL SAE ESPANHOL REVISIONAL;EM;ELETIVAS;Volume 03;V1;Anual;Aluno;Espanhol no Ensino Médio;Livro;Livro;SAE
82101160101;SAE ALUNO EM 2A SERIE SAE 1O BI;82101160101;PG25LA321SD01;25 LV ALUNO EM 2A SERIE 1O BI SAE LCH;EM;2A SERIE;Volume 01;V1;Bimestral;Aluno;Linguagens e Ciências Humanas;Livro;Livro;SAE
82101160101;SAE ALUNO EM 2A SERIE SAE 1O BI;82101160101;PG25LA321SD02;25 LV ALUNO EM 2A SERIE 1O BI SAE MCN;EM;2A SERIE;Volume 01;V1;Bimestral;Aluno;Matemática e Ciências da Natureza;Livro;Livro;SAE
